variante,nombre_canonico
.net,.NET
.net core,.NET
asp.net,.NET
asp.net core,.NET
dot net,.NET
dotnet,.NET
agil,Agile
agile,Agile
metodologias agiles,Agile
metodologías ágiles,Agile
ágil,Agile
airflow,Airflow
apache airflow,Airflow
android,Android
angular,Angular
angular 2+,Angular
angular.js,Angular
angularjs,Angular
ansible,Ansible
amazon web services,AWS
aws,AWS
azure,Azure
microsoft azure,Azure
bash,Bash
bash scripting,Bash
shell,Bash
shell scripting,Bash
big query,BigQuery
bigquery,BigQuery
google bigquery,BigQuery
blockchain,Blockchain
c,C
c sharp,C#
c#,C#
csharp,C#
c plus plus,C++
c++,C++
cpp,C++
apache cassandra,Cassandra
cassandra,Cassandra
ci cd,CI/CD
ci/cd,CI/CD
cicd,CI/CD
integración continua,CI/CD
cloud,Cloud
cloud computing,Cloud
cloud native,Cloud
cloud-native,Cloud
iaas,Cloud
nube,Cloud
paas,Cloud
cobol,COBOL
css,CSS
css3,CSS
sass,CSS
scss,CSS
cypress,Cypress
dart,Dart
ciencia de datos,Data Science
data science,Data Science
databricks,Databricks
data build tool,dbt
dbt,dbt
dbt cloud,dbt
dbt core,dbt
dbt-core,dbt
deep learning,Deep Learning
devops,DevOps
devsecops,DevSecOps
django,Django
docker,Docker
duckdb,DuckDB
amazon dynamodb,DynamoDB
dynamodb,DynamoDB
elastic,Elasticsearch
elastic search,Elasticsearch
elasticsearch,Elasticsearch
elk,Elasticsearch
opensearch,Elasticsearch
elt,ETL
etl,ETL
etl/elt,ETL
excel,Excel
microsoft excel,Excel
ms excel,Excel
express,Express
express.js,Express
expressjs,Express
fast api,FastAPI
fastapi,FastAPI
flask,Flask
flutter,Flutter
freertos,FreeRTOS
gcp,GCP
google cloud,GCP
google cloud platform,GCP
bitbucket,Git
git,Git
github,Git
gitlab,Git
github actions,GitHub Actions
gitlab ci,GitLab CI
gitlab ci/cd,GitLab CI
gitlab-ci,GitLab CI
go,Go
golang,Go
grafana,Grafana
graphql,GraphQL
grpc,gRPC
apache hadoop,Hadoop
hadoop,Hadoop
hdfs,Hadoop
helm,Helm
html,HTML
html5,HTML
ai,IA
artificial intelligence,IA
ia,IA
inteligencia artificial,IA
iac,IaC
infraestructura como codigo,IaC
infraestructura como código,IaC
infrastructure as code,IaC
ios,iOS
java,Java
java 11,Java
java 17,Java
java 21,Java
java 8,Java
ecmascript,JavaScript
es6,JavaScript
javascript,JavaScript
javascript es6,JavaScript
js,JavaScript
